AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101721|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728101810|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101810|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101810|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101811|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101811|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101811|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101812|SAT-AC|info|nvl 1:(EnviarDadosVenda):981057 CF-e-SAT CFe35200703476811015264590003462880190723053416 gerado com sucesso
20200728101812|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728101857|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101857|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101857|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101857|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101857|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101857|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101858|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101858|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101902|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101902|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101902|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101902|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101902|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101948|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728101948|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728101948|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728101949|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728101949|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728101949|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728101950|SAT-AC|info|nvl 1:(EnviarDadosVenda):981342 CF-e-SAT CFe35200703476811015264590003462880190737022240 gerado com sucesso
20200728101950|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728102030|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102030|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102030|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102031|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102031|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102031|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728102032|SAT-AC|info|nvl 1:(EnviarDadosVenda):981531 CF-e-SAT CFe35200703476811015264590003462880190746066530 gerado com sucesso
20200728102032|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728102110|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102110|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102110|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
