-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130941|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130946|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130952|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130957|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019130959|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019130959|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019130959|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019130959|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131003|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131008|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131014|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131020|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131025|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131029|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131029|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131029|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131029|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019131029|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019131031|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131036|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131041|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
