loja;regiao;divisao;centro;uf
09410;INTERIOR;FRANQUIA;CDI;SP
09411;OESTE;FRANQUIA;CDA;SP
09417;NORTE;FRANQUIA;CDA;SP
09418;SUL;FRANQUIA;CDM;SP
09420;ABCDM;FRANQUIA;CDM;SP
09425;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09427;SUL;FRANQUIA;CDM;SP
09428;LESTE;FRANQUIA;CDM;SP
09431;NORTE;FRANQUIA;CDA;SP
09432;NORTE;FRANQUIA;CDA;SP
09433;SUL;FRANQUIA;CDA;SP
09435;LITORAL;FRANQUIA;CDM;SP
09436;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09437;LESTE;FRANQUIA;CDM;SP
09438;LESTE;FRANQUIA;CDM;SP
09439;INTERIOR;FRANQUIA;CDI;SP
09442;ABCDM;FRANQUIA;CDM;SP
09450;LESTE;FRANQUIA;CDM;SP
09454;LESTE;FRANQUIA;CDM;SP
09471;INTERIOR;FRANQUIA;CDI;SP
09476;LESTE;FRANQUIA;CDM;SP
09486;ABCDM;FRANQUIA;CDM;SP
09490;LITORAL;FRANQUIA;CDM;SP
09515;NORTE;FRANQUIA;CDA;SP
09518;LESTE;FRANQUIA;CDM;SP
09521;INTERIOR;FRANQUIA;CDR;SP
09525;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09528;VALE;FRANQUIA;CDM;SP
09530;ABCDM;FRANQUIA;CDM;SP
09531;INTERIOR;FRANQUIA;CDI;SP
09537;OESTE;FRANQUIA;CDA;SP
09538;SUL;FRANQUIA;CDA;SP
09539;SUL;FRANQUIA;CDM;SP
09540;INTERIOR;FRANQUIA;CDI;SP
09555;INTERIOR;FRANQUIA;CDI;SP
09560;INTERIOR;FRANQUIA;CDI;SP
09567;NORTE;FRANQUIA;CDA;SP
09574;ABCDM;FRANQUIA;CDM;SP
09586;VALE;FRANQUIA;CDM;SP
09588;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09596;INTERIOR;FRANQUIA;CDI;SP
09624;SUL;FRANQUIA;CDA;SP
09632;ABCDM;FRANQUIA;CDM;SP
09635;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09646;INTERIOR;FRANQUIA;CDI;SP
09651;OESTE;FRANQUIA;CDA;SP
09665;VALE;FRANQUIA;CDM;SP
09666;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09669;SUL;FRANQUIA;CDM;SP
09670;NORTE;FRANQUIA;CDA;SP
09685;INTERIOR;FRANQUIA;CDI;SP
09686;NORTE;FRANQUIA;CDA;SP
09694;INTERIOR;FRANQUIA;CDI;SP
09701;LITORAL;FRANQUIA;CDM;SP
09706;OESTE;FRANQUIA;CDA;SP
09713;SUL;FRANQUIA;CDA;SP
09731;LITORAL;FRANQUIA;CDM;SP
09739;LESTE;FRANQUIA;CDM;SP
09740;INTERIOR;FRANQUIA;CDI;SP
09742;INTERIOR;FRANQUIA;CDI;SP
09743;OESTE;FRANQUIA;CDA;SP
09747;VALE;FRANQUIA;CDM;SP
09749;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09751;INTERIOR;FRANQUIA;CDI;SP
09762;LITORAL;FRANQUIA;CDM;SP
09766;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09768;INTERIOR;FRANQUIA;CDR;SP
09769;SUL;FRANQUIA;CDA;SP
09772;OESTE;FRANQUIA;CDA;SP
09773;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09774;ABCDM;FRANQUIA;CDM;SP
09775;INTERIOR;FRANQUIA;CDI;SP
09778;LITORAL;FRANQUIA;CDM;SP
09785;SUL;FRANQUIA;CDM;SP
09787;SUL;FRANQUIA;CDM;SP
09790;SUL;FRANQUIA;CDA;SP
09793;NORTE;FRANQUIA;CDA;SP
09795;SUL;FRANQUIA;CDM;SP
09797;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09798;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09802;CENTRO;FRANQUIA;CDA;SP
09805;INTERIOR;FRANQUIA;CDI;SP
09806;LESTE;FRANQUIA;CDM;SP
09807;SUL;FRANQUIA;CDM;SP
09817;VALE;FRANQUIA;CDM;SP
09821;INTERIOR;FRANQUIA;CDI;SP
09824;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09825;ABCDM;FRANQUIA;CDM;SP
09830;VALE;FRANQUIA;CDM;SP
09835;INTERIOR;FRANQUIA;CDI;SP
09836;SUL;FRANQUIA;CDM;SP
09837;VALE;FRANQUIA;CDA;SP
09844;ABCDM;FRANQUIA;CDM;SP
09848;NORTE;FRANQUIA;CDA;SP
09850;OESTE;FRANQUIA;CDA;SP
09863;OESTE;FRANQUIA;CDA;SP
09877;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09878;OESTE;FRANQUIA;CDA;SP
09888;CENTRO;FRANQUIA;CDA;SP
09890;SUL;FRANQUIA;CDA;SP
09895;SUL;FRANQUIA;CDA;SP
09898;VALE;FRANQUIA;CDM;SP
09903;SUL;FRANQUIA;CDA;SP
09904;SUL;FRANQUIA;CDA;SP
09905;OESTE;FRANQUIA;CDA;SP
09907;SUL;FRANQUIA;CDM;SP
09911;SUL;FRANQUIA;CDA;SP
09912;SUL;FRANQUIA;CDA;SP
09917;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09918;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09919;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09920;NORTE;FRANQUIA;CDA;SP
09921;INTERIOR;FRANQUIA;CDI;SP
09923;SUL;FRANQUIA;CDA;SP
09924;LITORAL;FRANQUIA;CDM;SP
09925;INTERIOR;FRANQUIA;CDI;SP
09928;INTERIOR;FRANQUIA;CDI;SP
09936;LITORAL;FRANQUIA;CDM;SP
09937;SUL;FRANQUIA;CDA;SP
09938;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09947;OESTE;FRANQUIA;CDA;SP
09950;INTERIOR;FRANQUIA;CDI;SP
09952;CENTRO;FRANQUIA;CDA;SP
09958;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09959;LITORAL;FRANQUIA;CDM;SP
09960;NORTE;FRANQUIA;CDA;SP
09961;INTERIOR;FRANQUIA;CDI;SP
00874;BELO HORIZONTE;PROPRIA;CDB;MG
03373;ABCDM;FRANQUIA;CDM;SP
03420;INTERIOR;FRANQUIA;CDI;SP
03439;INTERIOR;FRANQUIA;CDI;SP
03446;LESTE;FRANQUIA;CDM;SP
03448;INTERIOR;FRANQUIA;CDI;SP
03455;INTERIOR;FRANQUIA;CDI;SP
03460;INTERIOR;FRANQUIA;CDI;SP
03501;VALE;FRANQUIA;CDM;SP
03533;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
07058;BELO HORIZONTE;FRANQUIA;CDB;MG
07072;BELO HORIZONTE;FRANQUIA;CDB;MG
07091;BELO HORIZONTE;FRANQUIA;CDB;MG
08034;INTERIOR;FRANQUIA;CDNSR;RS
08114;INTERIOR;FRANQUIA;CDNSR;RS
09176;LESTE;FRANQUIA;CDM;SP
09197;ABCDM;FRANQUIA;CDM;SP
09278;INTERIOR;FRANQUIA;CDI;SP
09284;LITORAL;FRANQUIA;CDM;SP
09299;INTERIOR;FRANQUIA;CDI;SP
09384;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09399;SUL;FRANQUIA;CDM;SP
09419;LESTE;FRANQUIA;CDM;SP
09481;LITORAL;FRANQUIA;CDM;SP
09548;INTERIOR;FRANQUIA;CDI;SP
09558;INTERIOR;FRANQUIA;CDI;SP
09559;INTERIOR;FRANQUIA;CDI;SP
09564;NORTE;FRANQUIA;CDA;SP
09570;INTERIOR;FRANQUIA;CDI;SP
09577;LESTE;FRANQUIA;CDG;SP
09625;INTERIOR;FRANQUIA;CDI;SP
09678;OESTE;FRANQUIA;CDA;SP
09786;LESTE;FRANQUIA;CDM;SP
09813;LESTE;FRANQUIA;CDM;SP
09834;INTERIOR;FRANQUIA;CDI;SP
09860;INTERIOR;FRANQUIA;CDI;SP
09909;VALE;FRANQUIA;CDM;SP
09926;INTERIOR;FRANQUIA;CDI;SP
09941;INTERIOR;FRANQUIA;CDI;SP
