loja;regiao;divisao;centro;uf
09149;LITORAL;FRANQUIA;CDM;SP
09151;RIBEIRÃO PRETO;FRANQUIA;CDR;SP
09163;SUL;FRANQUIA;CDA;SP
09164;INTERIOR;FRANQUIA;CDI;SP
09165;ABCDM;FRANQUIA;CDM;SP
09166;ABCDM;FRANQUIA;CDM;SP
09169;INTERIOR;FRANQUIA;CDI;SP
09170;ABCDM;FRANQUIA;CDM;SP
09171;INTERIOR;FRANQUIA;CDI;SP
09172;ABCDM;FRANQUIA;CDM;SP
09173;INTERIOR;FRANQUIA;CDI;SP
09177;INTERIOR;FRANQUIA;CDI;SP
09178;VALE;FRANQUIA;CDM;SP
09179;OESTE;FRANQUIA;CDA;SP
09180;LESTE;FRANQUIA;CDM;SP
09183;OESTE;FRANQUIA;CDA;SP
09186;NORTE;FRANQUIA;CDA;SP
09187;INTERIOR;FRANQUIA;CDI;SP
09188;ABCDM;FRANQUIA;CDM;SP
09190;INTERIOR;FRANQUIA;CDI;SP
09191;LESTE;FRANQUIA;CDM;SP
09196;ABCDM;FRANQUIA;CDM;SP
09200;ABCDM;FRANQUIA;CDM;SP
09204;LITORAL;FRANQUIA;CDM;SP
09209;VALE;FRANQUIA;CDM;SP
09218;INTERIOR;FRANQUIA;CDI;SP
09220;INTERIOR;FRANQUIA;CDI;SP
09226;SUL;FRANQUIA;CDA;SP
09230;VALE;FRANQUIA;CDM;SP
09234;VALE;FRANQUIA;CDM;SP
09247;SUL;FRANQUIA;CDM;SP
09259;INTERIOR;FRANQUIA;CDI;SP
09261;ABCDM;FRANQUIA;CDM;SP
09267;ABCDM;FRANQUIA;CDM;SP
09268;VALE;FRANQUIA;CDM;SP
09269;SUL;FRANQUIA;CDM;SP
09274;INTERIOR;FRANQUIA;CDI;SP
09276;INTERIOR;FRANQUIA;CDI;SP
09287;VALE;FRANQUIA;CDM;SP
09289;INTERIOR;FRANQUIA;CDI;SP
09290;LITORAL;FRANQUIA;CDM;SP
09297;SUL;FRANQUIA;CDA;SP
09302;INTERIOR;FRANQUIA;CDR;SP
09310;LITORAL;FRANQUIA;CDM;SP
09313;INTERIOR;FRANQUIA;CDI;SP
09315;ABCDM;FRANQUIA;CDM;SP
09319;CENTRO;FRANQUIA;CDA;SP
09320;LITORAL;FRANQUIA;CDM;SP
09322;VALE;FRANQUIA;CDM;SP
09324;VALE;FRANQUIA;CDM;SP
