Tienda,Cesion,"Fecha Salida","Fecha Entrada"
75210,CL_0001064170,"2018-04-16 09:20:16","2018-04-16 09:21:53"
75210,CL_0001064182,"2018-04-16 09:22:46","2018-04-16 09:26:53"
75210,CL_0001064187,"2018-04-16 09:38:06","2018-04-16 09:39:52"
75210,CL_0001064189,"2018-04-16 09:40:46","2018-04-16 09:44:58"
75210,CL_0001064200,"2018-04-16 09:43:47","2018-04-16 09:49:58"
75210,CL_0001064209,"2018-04-16 10:05:49","2018-04-16 10:09:58"
75210,CL_0001064228,"2018-04-16 09:24:54","2018-04-16 09:26:53"
75210,CL_0001064229,"2018-04-16 09:27:49","2018-04-16 09:31:30"
75210,CL_0001064230,"2018-04-16 09:33:18","2018-04-16 09:36:33"
75210,CL_0001064236,"2018-04-16 09:47:14","2018-04-16 09:49:58"
75210,CL_0001064241,"2018-04-16 09:43:24","2018-04-16 09:44:58"
75210,CL_0001064247,"2018-04-16 09:54:12","2018-04-16 09:59:58"
75210,CL_0001064255,"2018-04-16 09:57:03","2018-04-16 09:59:58"
75210,CL_0001064264,"2018-04-16 09:56:31","2018-04-16 09:59:58"
75210,CL_0001064279,"2018-04-16 09:59:53","2018-04-16 10:04:58"
75210,CL_0001064295,"2018-04-16 10:04:34","2018-04-16 10:09:58"
75210,CL_0001064297,"2018-04-16 10:02:13","2018-04-16 10:04:58"
75210,CL_0001064348,"2018-04-16 10:08:10","2018-04-16 10:09:58"
75210,CL_0001064376,"2018-04-16 10:13:04","2018-04-16 10:14:58"
75210,CL_0001064381,"2018-04-16 10:25:10","2018-04-16 10:29:58"
75210,CL_0001064384,"2018-04-16 11:14:31","2018-04-16 11:15:53"
75210,CL_0001064388,"2018-04-16 11:48:32","2018-04-16 11:52:38"
75210,CL_0001064390,"2018-04-16 11:45:32","2018-04-16 11:47:38"
75210,CL_0001064392,"2018-04-16 11:47:50","2018-04-16 11:52:38"
75210,CL_0001064395,"2018-04-16 10:29:02","2018-04-16 10:30:52"
75210,CL_0001064400,"2018-04-16 10:28:41","2018-04-16 10:30:52"
75210,CL_0001064431,"2018-04-16 10:16:22","2018-04-16 10:19:58"
75210,CL_0001064435,"2018-04-16 10:32:43","2018-04-16 10:35:53"
75210,CL_0001064436,"2018-04-16 10:20:12","2018-04-16 10:24:58"
75210,CL_0001064443,"2018-04-16 10:26:43","2018-04-16 10:29:58"
75210,CL_0001064445,"2018-04-16 11:12:32","2018-04-16 11:15:53"
75210,CL_0001064446,"2018-04-16 11:18:52","2018-04-16 11:20:33"
75210,CL_0001064450,"2018-04-16 11:32:12","2018-04-16 11:37:39"
75210,CL_0001064455,"2018-04-16 11:34:52","2018-04-16 11:37:39"
75210,CL_0001064459,"2018-04-16 11:39:07","2018-04-16 11:42:38"
75210,CL_0001064469,"2018-04-16 11:45:48","2018-04-16 11:47:38"
75210,CL_0001064486,"2018-04-16 11:11:40","2018-04-16 11:15:53"
75210,CL_0001064493,"2018-04-16 11:30:16","2018-04-16 11:37:39"
75210,CL_0001064494,"2018-04-16 11:27:13","2018-04-16 11:36:19"
75210,CL_0001064511,"2018-04-16 11:37:25","2018-04-16 11:42:38"
75210,CL_0001064513,"2018-04-16 11:39:57","2018-04-16 11:42:38"
75210,CL_0001064516,"2018-04-16 11:44:50","2018-04-16 11:47:38"
75210,CL_0001064527,"2018-04-16 11:16:42","2018-04-16 11:18:44"
75210,CL_0001064537,"2018-04-16 11:29:11","2018-04-16 11:36:19"
75210,CL_0001064542,"2018-04-16 11:31:50","2018-04-16 11:37:39"
75210,CL_0001064545,"2018-04-16 11:34:38","2018-04-16 11:37:39"
75210,CL_0001064548,"2018-04-16 11:37:46","2018-04-16 11:42:38"
75210,CL_0001064554,"2018-04-16 11:45:20","2018-04-16 11:47:38"
75210,CL_0001064555,"2018-04-16 11:40:57","2018-04-16 11:42:38"
75210,CL_0001064594,"2018-04-16 11:54:00","2018-04-16 12:00:18"
75210,CL_0001064601,"2018-04-16 11:56:13","2018-04-16 12:00:18"
75210,CL_0001064604,"2018-04-16 11:55:02","2018-04-16 12:00:18"
